Store#_num,Store Location,Store Address Line 1,Store Address Line 2,Shipping Address Line 1,City,Province,Store Postal Code
1,"ALLISTON, ON",HWY # 89 WEST (110 YOUNG ST),P.O. BOX 460,"HWY # 89 WEST (110 YOUNG ST),  P.O. BOX 460",ALLISTON,ON,L9R 1P8
2,"ANTIGONISH, NS",133 CHURCH STREET,ANTIGONISH MALL,"133 CHURCH STREET,  ANTIGONISH MALL",ANTIGONISH,NS,B2G 2E3
3,"AMHERST, NS",152 ALBION STREET SOUTH,,152 ALBION STREET SOUTH,AMHERST,NS,B4H 4H4
4,"ARNPRIOR, ON",375 DANIEL ST. SOUTH,,375 DANIEL ST. SOUTH,ARNPRIOR,ON,K7S 3K6
5,"BANCROFT, ON",341 HASTINGS STREET NORTH,BOX 130,"341 HASTINGS STREET NORTH,  BOX 130",BANCROFT,ON,K0L 1C0
6,"BARRIE, ON",320 BAYFIELD STREET,UNIT M103,"320 BAYFIELD STREET,  UNIT M103",BARRIE,ON,L4M 3C1
7,"BELLEVILLE, ON",101 BELL BLVD.,,101 BELL BLVD.,BELLEVILLE,ON,K8P 4V2
8,"BLENHEIM, ON",20215 CHATHAM STREET N,,20215 CHATHAM STREET N,BLENHEIM,ON,N0P 1A0
9,"LANGELIER, QC","6565, RUE JEAN-TALON EST",,"6565, RUE JEAN-TALON EST",ST. LEONARD,QC,H1S 1N2
10,"BRAMPTON SHOPPERS WORLD, ON",499 MAIN STREET S,SHOPPERS WORLD MALL,"499 MAIN STREET S,  SHOPPERS WORLD MALL",BRAMPTON,ON,L6Y 1N7
11,"BATHURST, NB",520 ST. PETER AVENUE,,520 ST. PETER AVENUE,BATHURST,NB,E2A 2Y7
13,"BRIDGEWATER, NS",1-16 PINE GROVE ROAD,,1-16 PINE GROVE ROAD,COOKVILLE,NS,B4V 7P7
14,"BROCKVILLE, ON",2360 PARKEDALE AVENUE,,2360 PARKEDALE AVENUE,BROCKVILLE,ON,K6V 7J5
15,"BUCKINGHAM, QC",170 AVENUE LEPINE,,170 AVENUE LEPINE,BUCKINGHAM,QC,J8L 4M4
16,"ATHOLVILLE, NB",384 OLD VAL D'AMOUR ROAD,,384 OLD VAL D'AMOUR ROAD,ATHOLVILLE,NB,E3N 4E3
17,"CAMPBELLFORD, ON",130 GRAND ROAD,,130 GRAND ROAD,CAMPBELLFORD,ON,K0L 1L0
18,"CARLETON PLACE, ON",485 MCNEELY AVE.,,485 MCNEELY AVE.,CARLETON PLACE,ON,K7C 4S6
19,"LAWRENCE & ALLEN EXPWY, ON",700 LAWRENCE AVENUE WEST,,700 LAWRENCE AVENUE WEST,TORONTO,ON,M6A 3B4
20,"CHARLOTTETOWN, PEI",20 BABINEAU AVENUE,,20 BABINEAU AVENUE,CHARLOTTETOWN,PE,C1A 0G1
21,"CHATHAM, ON",575 GRAND AVENUE WEST,,575 GRAND AVENUE WEST,CHATHAM,ON,N7L 1C5
22,"ESPANOLA, ON",801 CENTRE STREET,,801 CENTRE STREET,ESPANOLA,ON,P5E 1N2
23,"COBOURG, ON",1125 ELGIN ST. WEST (HWY #2),,1125 ELGIN ST. WEST (HWY #2),COBOURG,ON,K9A 5T9
24,"COCHRANE, ON",201 HIGHWAY 11 WEST,BOX 1058,"201 HIGHWAY 11 WEST,  BOX 1058",COCHRANE,ON,P0L 1C0
25,"DIGBY, NS",112 WARWICK STREET,,112 WARWICK STREET,DIGBY,NS,B0V 1A0
26,"CORNWALL, ON",201 NINTH STREET EAST,,201 NINTH STREET EAST,CORNWALL,ON,K6H 2V1
27,"DUNDAS, ON",119 OSLER DRIVE,,119 OSLER DRIVE,DUNDAS,ON,L9H 6X4
29,"DUNNVILLE, ON",1002 BROAD ST. E.,,1002 BROAD ST. E.,DUNNVILLE,ON,N1A 2Z2
30,"WARDEN & EGLINTON, ON",1901 EGLINTON AVENUE EAST,,1901 EGLINTON AVENUE EAST,TORONTO,ON,M1L 2L8
31,"CENTRE WELLINGTON, ON",950 TOWER STREET SOUTH,,950 TOWER STREET SOUTH,FERGUS,ON,N1M 3N7
32,"FOREST, ON",84 UNION STREET,BOX 730,"84 UNION STREET,  BOX 730",FOREST,ON,N0N 1J0
33,"FORT ERIE, ON",240 GARRISON ROAD,,240 GARRISON ROAD,FORT ERIE,ON,L2A 1M7
34,"THUNDER BAY SOUTH, ON",1221 ARTHUR STREET WEST,,1221 ARTHUR STREET WEST,THUNDER BAY,ON,P7K 1A7
35,"FREDERICTON, NB",1110 SMYTHE STREET,,1110 SMYTHE STREET,FREDERICTON,NB,E3B 3H6
36,"CAMBRIDGE, ON",75 DUNDAS STREET,HIGHLAND SHOPPING CENTRE,"75 DUNDAS STREET,  HIGHLAND SHOPPING CENTRE",CAMBRIDGE,ON,N1R 6G5
37,"GANANOQUE, ON",705 KING STREET EAST,,705 KING STREET EAST,GANANOQUE,ON,K7G 1H4
38,"FENELON FALLS, ON",160 LINDSAY STREET,P.O. BOX 208,"160 LINDSAY STREET,  P.O. BOX 208",FENELON FALLS,ON,K0M 1N0
